inicio,fin,cantidad_viajes
2305 Newfield Lane,5700 South Mopac Expressway,1
2500 Candlewood Court,3126 Honey Tree Lane,1
106 East 55th Street,3005 Scenic Drive,1
2500 Candlewood Court,3001 West Anderson Lane,1
Riata Trace Parkway,2500 Candlewood Court,1
2305 Newfield Lane,5606 Penick Drive,1
2600 La Ronde Street,490 Little Texas Lane,1
2600 La Ronde Street,5606 Penick Drive,1
2207 De Verne Street,Shops at Arbor Trail,1
2600 La Ronde Street,5005 Red Bluff Road,1
"Yellow Jacket Stadium, Hargrave Street",3400 Catalina Drive,1
North Interstate 35,2624 Western Trails Boulevard,1
North Mopac Service Road,5005 Red Bluff Road,1
2500 Candlewood Court,3201 Kay Street,1
2609 Deerfoot Trail,1928 Holly Hill Drive,1
"Riverside Golf Course, 1020 Grove Boulevard",4701 Monterey Oaks Boulevard,1
"Yellow Jacket Stadium, Hargrave Street",3819 Jefferson Street,1
2600 La Ronde Street,4368 Freidrich Lane,1
2500 Candlewood Court,3501 Duval Road,1
2204 Vanderbilt Lane,110 Oertli Lane,1
2500 Candlewood Court,3405 Westledge Circle,1
North Mopac Service Road,5700 South Mopac Expressway,1
2305 Newfield Lane,7511 Meadowview Lane,1
2600 La Ronde Street,5701 Mojave Drive,1
2600 La Ronde Street,5001 Wasson Road,1
"Riverside Golf Course, 1020 Grove Boulevard",5701 Mojave Drive,1
Riata Trace Parkway,2207 De Verne Street,1
North Mopac Service Road,5606 Penick Drive,1
"Riverside Golf Course, 1020 Grove Boulevard",4608 Mount Vernon Drive,1
West 15th Street,East William Cannon Drive,1
North Mopac Service Road,5305 East Oltorf Street,1
North Mopac Service Road,5001 Wasson Road,1
1157 Salina Street,Shops at Arbor Trail,1
2400 East Oltorf Street,2015 Cedar Bend Drive,1
North Interstate 35,2400 East Oltorf Street,1
2901 Via Fortuna,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1
2207 De Verne Street,"Great Hills Park & Ride, OChester Boulevard",1
2500 Candlewood Court,9669 New Airport Drive,1
106 East 55th Street,5701 Mojave Drive,1
"Yellow Jacket Stadium, Hargrave Street",Nash Hernandez Sr Road,1
North Mopac Service Road,"Lions Municipal Golf Course, 2901 Enfield Road",1
2500 Candlewood Court,8608 Primrose Lane,1
"Yellow Jacket Stadium, Hargrave Street","Lions Municipal Golf Course, 2901 Enfield Road",1
"Riverside Golf Course, 1020 Grove Boulevard",Riata Trace Parkway,1
1157 Salina Street,"Life Time, 4210 West Braker Lane",1
1104 Flanagan Cove,South Interstate 35,1
106 East 55th Street,510 Gate Tree Lane,1
"Riverside Golf Course, 1020 Grove Boulevard","Popeyes, Cactus Lane",1
11700 Stonehollow Drive,3708 Meredith Street,1
2600 La Ronde Street,3126 Honey Tree Lane,1
2600 La Ronde Street,313 Lone Oak Drive,1
106 East 55th Street,5001 Wasson Road,1
West 15th Street,3309 East 17th Street,1
1157 Salina Street,North Interstate 35,1
106 East 55th Street,490 Little Texas Lane,1
"Riverside Golf Course, 1020 Grove Boulevard","Lions Municipal Golf Course, 2901 Enfield Road",1
2800 Tom Miller Street,919 Park Plaza,1
"Yellow Jacket Stadium, Hargrave Street",East William Cannon Drive,1
North Interstate 35,2108 White Horse Trail,1
2600 La Ronde Street,3309 East 17th Street,1
2400 East Oltorf Street,2507 Bridle Path,1
2500 Candlewood Court,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",1
2203 Philomena Street,South Interstate 35,1
1104 Flanagan Cove,"Riverside Golf Course, 1020 Grove Boulevard",1
2500 Candlewood Court,"The Pearl, 1301 West Koenig Lane",1
"Riverside Golf Course, 1020 Grove Boulevard","Trader Joes, 2805 Bee Caves Road",1
West 15th Street,2204 Vanderbilt Lane,1
North Interstate 35,1928 Holly Hill Drive,1
1157 Salina Street,"Great Hills Park & Ride, OChester Boulevard",1
106 East 55th Street,9669 New Airport Drive,1
106 East 55th Street,919 Park Plaza,1
2500 Candlewood Court,South Mopac Service Road,1
2901 Via Fortuna,"St. Francis School, Twin Crest Drive",1
1106 Clayton Lane,41 Margranita Crescent,1
1104 Flanagan Cove,Riata Trace Parkway,1
"Yellow Jacket Stadium, Hargrave Street",Riata Trace Parkway,1
2500 Candlewood Court,"Hotel Granduca Pool, Capital Ridge Driveway",1
2305 Newfield Lane,3126 Honey Tree Lane,1
1104 Flanagan Cove,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1
2609 Deerfoot Trail,2507 Bridle Path,1
2800 Tom Miller Street,811 East Riverside Drive,1
North Interstate 35,2003 Northridge Drive,1
2212 Village Way Drive,3018 Spirit of Texas Drive,1
2901 Via Fortuna,South Mopac Service Road,1
2800 Tom Miller Street,8405 Hornet Drive,1
2207 De Verne Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1
2500 Candlewood Court,"Life Time, 4210 West Braker Lane",1
Riata Trace Parkway,1402 Hillmont Street,1
1106 Clayton Lane,3708 Meredith Street,1
"Yellow Jacket Stadium, Hargrave Street",Country Club Creek Trail,1
"Riverside Golf Course, 1020 Grove Boulevard","Great Hills Park & Ride, OChester Boulevard",1
"Yellow Jacket Stadium, Hargrave Street",5700 South Mopac Expressway,1
1106 Clayton Lane,3405 Westledge Circle,1
"Riverside Golf Course, 1020 Grove Boulevard",9669 New Airport Drive,1
1104 Flanagan Cove,5700 South Mopac Expressway,1
"Yellow Jacket Stadium, Hargrave Street",7088 Easy Wind Drive,1
106 East 55th Street,3501 Duval Road,1
"Riverside Golf Course, 1020 Grove Boulevard",842 Springdale Road,1
2305 Newfield Lane,3567 Ranch to Market Road 2222,1
"Yellow Jacket Stadium, Hargrave Street",600 Hammack Drive,1
2204 Vanderbilt Lane,1106 Clayton Lane,1
2600 La Ronde Street,41 Margranita Crescent,1
2800 Tom Miller Street,East William Cannon Drive,1
2609 Deerfoot Trail,2203 Philomena Street,1
1157 Salina Street,"Riverside Golf Course, 1020 Grove Boulevard",1
"Riverside Golf Course, 1020 Grove Boulevard",7600 Wood Hollow Drive,1
2609 Deerfoot Trail,2108 White Horse Trail,1
1104 Flanagan Cove,"Panera Bread, North Capital of Texas Highway",1
"Riverside Golf Course, 1020 Grove Boulevard",7516 Hardy Drive,1
North Interstate 35,2305 Newfield Lane,1
1106 Clayton Lane,3309 East 17th Street,1
Reserve Road,"Omni Barton Creek Resort, 8108 Barton Club Drives",1
"Yellow Jacket Stadium, Hargrave Street",490 Little Texas Lane,1
"Yellow Jacket Stadium, Hargrave Street",4701 Monterey Oaks Boulevard,1
2800 Tom Miller Street,"Hotel Granduca Pool, Capital Ridge Driveway",1
2400 East Oltorf Street,3126 Honey Tree Lane,1
"Riverside Golf Course, 1020 Grove Boulevard",3708 Meredith Street,1
Reserve Road,2204 Vanderbilt Lane,1
1106 Clayton Lane,3567 Ranch to Market Road 2222,1
2800 Tom Miller Street,Arnulfo Alonso Way,1
2600 La Ronde Street,3405 Westledge Circle,1
"Yellow Jacket Stadium, Hargrave Street","Cambria Hotel Austin Airport, Discovery Lane",1
2609 Deerfoot Trail,2212 Village Way Drive,1
1104 Flanagan Cove,5606 Penick Drive,1
"Riverside Golf Course, 1020 Grove Boulevard",Country Club Creek Trail,1
2500 Candlewood Court,7511 Meadowview Lane,1
Riata Trace Parkway,1629 West 11 1/2 Street,1
2400 East Oltorf Street,2800 Tom Miller Street,1
Riata Trace Parkway,1915 East Martin Luther King Jr Boulevard,1
"Yellow Jacket Stadium, Hargrave Street",948 East 50th Street,1
2500 Candlewood Court,7100 Carver Avenue,1
106 East 55th Street,405 East Ben White Boulevard,1
"Riverside Golf Course, 1020 Grove Boulevard",Ann & Roy Butler Hike and Bike Trail,1
"Yellow Jacket Stadium, Hargrave Street",8608 Primrose Lane,1
"Yellow Jacket Stadium, Hargrave Street",7600 Wood Hollow Drive,1
Riata Trace Parkway,1928 Holly Hill Drive,1
2207 De Verne Street,"Riverside Golf Course, 1020 Grove Boulevard",1
2500 Candlewood Court,6210 Shadow Valley Drive,1
106 East 55th Street,3708 Meredith Street,1
Riata Trace Parkway,2023 East 5th Street,1
2800 Tom Miller Street,"Cambria Hotel Austin Airport, Discovery Lane",1
2207 De Verne Street,1304 Cometa Street,1
West 15th Street,4501 Fairview Drive,1
106 East 55th Street,3707 South 2nd Street,1
"Yellow Jacket Stadium, Hargrave Street",3001 South Congress Avenue,1
"Riverside Golf Course, 1020 Grove Boulevard",3201 Kay Street,1
North Interstate 35,2800 Tom Miller Street,1
2400 East Oltorf Street,"Great Hills Park & Ride, OChester Boulevard",1
2404 Kathy Cove,2400 East Oltorf Street,1
Riata Trace Parkway,9669 New Airport Drive,1
1000 East 41st Street,5606 Penick Drive,1
2901 Via Fortuna,3005 Scenic Drive,1
2212 Village Way Drive,2507 Bridle Path,1
North Mopac Service Road,1517 Summer Stone Drive,1
2901 Via Fortuna,8405 Hornet Drive,1
1000 East 41st Street,5305 East Oltorf Street,1
2212 Village Way Drive,2505 Longview Street,1
West Gibson Street,4501 Fairview Drive,1
2207 De Verne Street,510 Gate Tree Lane,1
2212 Village Way Drive,2500 Candlewood Court,1
1000 East 41st Street,490 Little Texas Lane,1
North Interstate 35,Ann & Roy Butler Hike and Bike Trail,1
11700 Stonehollow Drive,2624 Western Trails Boulevard,1
1000 East 41st Street,4608 Mount Vernon Drive,1
2901 Via Fortuna,3707 South 2nd Street,1
West Gibson Street,Shops at Arbor Trail,1
2901 Via Fortuna,3708 Meredith Street,1
2901 Via Fortuna,811 East Riverside Drive,1
1000 East 41st Street,4501 Fairview Drive,1
2404 Kathy Cove,2212 Village Way Drive,1
1000 East 41st Street,400 West Saint Elmo Road,1
2305 Newfield Lane,"Panera Bread, North Capital of Texas Highway",1
Riata Trace Parkway,Ann & Roy Butler Hike and Bike Trail,1
2605 Whitis Avenue,5001 Wasson Road,1
2404 Kathy Cove,2507 Bridle Path,1
2404 Kathy Cove,2508 Aldford Drive,1
2207 De Verne Street,2800 Tom Miller Street,1
1104 Flanagan Cove,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",1
2404 Kathy Cove,3819 Jefferson Street,1
2600 La Ronde Street,North Interstate 35,1
"Riverside Golf Course, 1020 Grove Boulevard",2003 Northridge Drive,1
2207 De Verne Street,2404 Kathy Cove,1
2600 La Ronde Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1
2404 Kathy Cove,3005 Scenic Drive,1
Riata Trace Parkway,811 East Riverside Drive,1
11700 Stonehollow Drive,1731 East 38½ Street,1
11700 Stonehollow Drive,1915 East Martin Luther King Jr Boulevard,1
2600 La Ronde Street,"Popeyes, Cactus Lane",1
11700 Stonehollow Drive,2904 Barton Skyway,1
2207 De Verne Street,2609 Deerfoot Trail,1
2404 Kathy Cove,2793 East 7th Street,1
2500 Candlewood Court,"Trader Joes, 2805 Bee Caves Road",1
"Riverside Golf Course, 1020 Grove Boulevard",1629 West 11 1/2 Street,1
2901 Via Fortuna,2507 Bridle Path,1
2404 Kathy Cove,2702 Valley Spring Road,1
1104 Flanagan Cove,"Life Time, 4210 West Braker Lane",1
1000 East 41st Street,8405 Hornet Drive,1
2600 La Ronde Street,"Trader Joes, 2805 Bee Caves Road",1
1000 East 41st Street,1928 Holly Hill Drive,1
"Riverside Golf Course, 1020 Grove Boulevard",1419 Corona Drive,1
2901 Via Fortuna,842 Springdale Road,1
2404 Kathy Cove,2609 Deerfoot Trail,1
North Interstate 35,7600 Wood Hollow Drive,1
North Interstate 35,9669 New Airport Drive,1
2901 Via Fortuna,3811 Avenue H,1
2901 Via Fortuna,909 East Koenig Lane,1
1106 Clayton Lane,1629 West 11 1/2 Street,1
Riata Trace Parkway,"Hotel Granduca Pool, Capital Ridge Driveway",1
11700 Stonehollow Drive,2600 La Ronde Street,1
2404 Kathy Cove,1500 Royal Crest Drive,1
2305 Newfield Lane,Riata Trace Parkway,1
2400 East Oltorf Street,"The Pearl, 1301 West Koenig Lane",1
1000 East 41st Street,2609 Deerfoot Trail,1
2400 East Oltorf Street,"Trader Joes, 2805 Bee Caves Road",1
2212 Village Way Drive,2203 Philomena Street,1
11700 Stonehollow Drive,2400 East Oltorf Street,1
1000 East 41st Street,2907 Townes Lane,1
2901 Via Fortuna,5005 Red Bluff Road,1
2305 Newfield Lane,South Interstate 35,1
1000 East 41st Street,2901 Via Fortuna,1
2404 Kathy Cove,2117 West 49th Street,1
2404 Kathy Cove,1204 West 29th Street,1
2901 Via Fortuna,5606 Penick Drive,1
11700 Stonehollow Drive,2500 Candlewood Court,1
North Interstate 35,"Popeyes, Cactus Lane",1
2404 Kathy Cove,11405 Alterra Parkway,1
North Interstate 35,"Omni Barton Creek Resort, 8108 Barton Club Drives",1
West Gibson Street,"Great Hills Park & Ride, OChester Boulevard",1
Riata Trace Parkway,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1
2207 De Verne Street,3811 Avenue H,1
2901 Via Fortuna,5209 North Lamar Boulevard,1
1104 Flanagan Cove,"Hotel Granduca Pool, Capital Ridge Driveway",1
1000 East 41st Street,2624 Western Trails Boulevard,1
2207 De Verne Street,3201 Kay Street,1
1106 Clayton Lane,1731 East 38½ Street,1
1000 East 41st Street,2508 Aldford Drive,1
11700 Stonehollow Drive,2207 De Verne Street,1
2901 Via Fortuna,405 East Ben White Boulevard,1
2901 Via Fortuna,41 Margranita Crescent,1
2901 Via Fortuna,4200 North Lamar Boulevard,1
2901 Via Fortuna,7600 Wood Hollow Drive,1
2212 Village Way Drive,1400 South Pleasant Valley Road,1
2212 Village Way Drive,2400 East Oltorf Street,1
"Riverside Golf Course, 1020 Grove Boulevard",110 Oertli Lane,1
1000 East 41st Street,3567 Ranch to Market Road 2222,1
2212 Village Way Drive,2305 Newfield Lane,1
1000 East 41st Street,2305 Newfield Lane,1
1000 East 41st Street,3501 Duval Road,1
2212 Village Way Drive,2241 Cromwell Circle,1
North Mopac Service Road,1104 Flanagan Cove,1
2901 Via Fortuna,600 Hammack Drive,1
2901 Via Fortuna,5701 Mojave Drive,1
1000 East 41st Street,3405 Westledge Circle,1
Riata Trace Parkway,Gillis District Park Trail,1
2212 Village Way Drive,1903 Fairlawn Lane,1
North Interstate 35,East William Cannon Drive,1
2901 Via Fortuna,4701 Monterey Oaks Boulevard,1
North Interstate 35,"Great Hills Park & Ride, OChester Boulevard",1
2207 De Verne Street,3018 Spirit of Texas Drive,1
2404 Kathy Cove,1629 West 11 1/2 Street,1
1104 Flanagan Cove,"Great Hills Park & Ride, OChester Boulevard",1
1000 East 41st Street,3126 Honey Tree Lane,1
"Riverside Golf Course, 1020 Grove Boulevard",2015 Cedar Bend Drive,1
1000 East 41st Street,"Circuit of The Americas, Swiss Drive",1
2800 Tom Miller Street,"The Pearl, 1301 West Koenig Lane",1
2207 De Verne Street,7516 Hardy Drive,1
2500 Candlewood Court,11700 Stonehollow Drive,1
1106 Clayton Lane,2207 De Verne Street,1
106 East 55th Street,1928 Holly Hill Drive,1
2400 East Oltorf Street,1419 Corona Drive,1
1104 Flanagan Cove,7100 Carver Avenue,1
North Interstate 35,3707 South 2nd Street,1
North Interstate 35,3708 Meredith Street,1
2500 Candlewood Court,110 Oertli Lane,1
2305 Newfield Lane,"Infiniti, Burnet Road",1
"Yellow Jacket Stadium, Hargrave Street",2204 Vanderbilt Lane,1
2207 De Verne Street,"St. Francis School, Twin Crest Drive",1
2404 Kathy Cove,"Trader Joes, 2805 Bee Caves Road",1
106 East 55th Street,1517 Summer Stone Drive,1
2404 Kathy Cove,East 20th Street,1
2400 East Oltorf Street,12111 Northern Walnut Creek Trail,1
Reserve Road,Country Club Creek Trail,1
"Riverside Golf Course, 1020 Grove Boulevard",3005 Scenic Drive,1
2901 Via Fortuna,"Circuit of The Americas, Swiss Drive",1
2404 Kathy Cove,South Mopac Service Road,1
2212 Village Way Drive,1000 East 41st Street,1
Riata Trace Parkway,4504 Avenue C,1
2901 Via Fortuna,1204 West 29th Street,1
1106 Clayton Lane,11700 Stonehollow Drive,1
Riata Trace Parkway,4701 Monterey Oaks Boulevard,1
"Yellow Jacket Stadium, Hargrave Street",1731 East 38½ Street,1
"Riverside Golf Course, 1020 Grove Boulevard",2907 Townes Lane,1
2600 La Ronde Street,948 East 50th Street,1
2500 Candlewood Court,12111 Northern Walnut Creek Trail,1
North Interstate 35,3309 East 17th Street,1
1106 Clayton Lane,1104 Flanagan Cove,1
2400 East Oltorf Street,2003 Northridge Drive,1
2901 Via Fortuna,East William Cannon Drive,1
106 East 55th Street,2624 Western Trails Boulevard,1
2600 La Ronde Street,8405 Hornet Drive,1
North Mopac Service Road,405 East Ben White Boulevard,1
Riata Trace Parkway,2800 Tom Miller Street,1
2305 Newfield Lane,948 East 50th Street,1
West 15th Street,Riata Trace Parkway,1
2609 Deerfoot Trail,1204 West 29th Street,1
2800 Tom Miller Street,"Trader Joes, 2805 Bee Caves Road",1
1106 Clayton Lane,2212 Village Way Drive,1
2600 La Ronde Street,8608 Primrose Lane,1
Reserve Road,3001 West Anderson Lane,1
2400 East Oltorf Street,3708 Meredith Street,1
Riata Trace Parkway,2908 Beanna Street,1
2305 Newfield Lane,Arboretum Boulevard,1
North Interstate 35,3001 West Anderson Lane,1
11700 Stonehollow Drive,1106 Clayton Lane,1
North Interstate 35,3018 Spirit of Texas Drive,1
2609 Deerfoot Trail,1157 Salina Street,1
"Yellow Jacket Stadium, Hargrave Street",2517 Walsh Tarlton Lane,1
1104 Flanagan Cove,6210 Shadow Valley Drive,1
2305 Newfield Lane,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",1
11700 Stonehollow Drive,1157 Salina Street,1
106 East 55th Street,2241 Cromwell Circle,1
2207 De Verne Street,600 Hammack Drive,1
North Interstate 35,4504 Avenue C,1
2901 Via Fortuna,2015 Cedar Bend Drive,1
2901 Via Fortuna,948 East 50th Street,1
2404 Kathy Cove,909 East Koenig Lane,1
"Yellow Jacket Stadium, Hargrave Street",1204 West 29th Street,1
"Riverside Golf Course, 1020 Grove Boulevard",2305 Newfield Lane,1
North Interstate 35,5700 South Mopac Expressway,1
Riata Trace Parkway,7516 Hardy Drive,1
2600 La Ronde Street,Gillis District Park Trail,1
North Interstate 35,5701 Mojave Drive,1
1106 Clayton Lane,2008 Kinney Avenue,1
2600 La Ronde Street,"Hotel Granduca Pool, Capital Ridge Driveway",1
2901 Via Fortuna,9669 New Airport Drive,1
2404 Kathy Cove,7088 Easy Wind Drive,1
"Riverside Golf Course, 1020 Grove Boulevard",2207 De Verne Street,1
North Mopac Service Road,2404 Kathy Cove,1
2404 Kathy Cove,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",1
1000 East 41st Street,"Great Hills Park & Ride, OChester Boulevard",1
2404 Kathy Cove,5701 Mojave Drive,1
2600 La Ronde Street,"Infiniti, Burnet Road",1
"Yellow Jacket Stadium, Hargrave Street",1106 Clayton Lane,1
1000 East 41st Street,East William Cannon Drive,1
2600 La Ronde Street,"Life Time, 4210 West Braker Lane",1
1000 East 41st Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",1
2600 La Ronde Street,"Lions Municipal Golf Course, 2901 Enfield Road",1
1000 East 41st Street,Country Club Creek Trail,1
"Yellow Jacket Stadium, Hargrave Street",110 Oertli Lane,1
North Mopac Service Road,2212 Village Way Drive,1
2404 Kathy Cove,4608 Mount Vernon Drive,1
2901 Via Fortuna,1928 Holly Hill Drive,1
2600 La Ronde Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",1
2901 Via Fortuna,Arboretum Boulevard,1
2404 Kathy Cove,9669 New Airport Drive,1
"Riverside Golf Course, 1020 Grove Boulevard",2901 Via Fortuna,1
2400 East Oltorf Street,7511 Meadowview Lane,1
1000 East 41st Street,South Interstate 35,1
1000 East 41st Street,Shops at Arbor Trail,1
North Interstate 35,4707 Weidemar Lane,1
1000 East 41st Street,Riata Trace Parkway,1
2600 La Ronde Street,Arboretum Boulevard,1
North Interstate 35,5005 Red Bluff Road,1
2901 Via Fortuna,1731 East 38½ Street,1
2400 East Oltorf Street,7516 Hardy Drive,1
2305 Newfield Lane,"Lions Municipal Golf Course, 2901 Enfield Road",1
North Mopac Service Road,2624 Western Trails Boulevard,1
1000 East 41st Street,"Popeyes, Cactus Lane",1
"Riverside Golf Course, 1020 Grove Boulevard",2609 Deerfoot Trail,1
2404 Kathy Cove,Arnulfo Alonso Way,1
2400 East Oltorf Street,7600 Wood Hollow Drive,1
2400 East Oltorf Street,8405 Hornet Drive,1
2901 Via Fortuna,1903 Fairlawn Lane,1
North Interstate 35,510 Gate Tree Lane,1
2404 Kathy Cove,Ann & Roy Hike & Bike Trail,1
"Riverside Golf Course, 1020 Grove Boulevard",2600 La Ronde Street,1
2901 Via Fortuna,1911 Lightsey Road,1
2212 Village Way Drive,106 East 55th Street,1
2600 La Ronde Street,Country Club Creek Trail,1
Riata Trace Parkway,6210 Shadow Valley Drive,1
"Popeyes, Cactus Lane",Ann & Roy Hike & Bike Trail,1
"Omni Barton Creek Resort, 8108 Barton Club Drives","Cambria Hotel Austin Airport, Discovery Lane",1
2600 La Ronde Street,2800 Tom Miller Street,1
South Mopac Service Road,2400 East Oltorf Street,1
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4501 Fairview Drive,1
"St. Francis School, Twin Crest Drive",2207 De Verne Street,1
