inicio,fin,cantidad_viajes
207 West 18th Street,2106 West 7th Street,294
1500 Royal Crest Drive,1402 Hillmont Street,294
Reserve Road,1402 Hillmont Street,294
909 East Koenig Lane,207 West 18th Street,293
709 West 6th Street,4200 North Lamar Boulevard,293
3811 Avenue H,3600 Presidential Boulevard,291
Red River Street,Gillis District Park Trail,291
West Gibson Street,1155 Curve Street,290
4200 North Lamar Boulevard,709 West 6th Street,290
3600 Presidential Boulevard,Nash Hernandez Sr Road,289
2505 Longview Street,5209 North Lamar Boulevard,288
3600 Presidential Boulevard,3301 Hollywood Avenue,288
709 West 6th Street,2305 Newfield Lane,287
2904 Barton Skyway,Red River Street,287
East 20th Street,207 West 18th Street,287
2505 Longview Street,West Gibson Street,286
3001 South Congress Avenue,Red River Street,286
221 East 9th Street,7088 Easy Wind Drive,285
2305 Newfield Lane,709 West 6th Street,285
2507 Bridle Path,221 East 9th Street,285
611 Fairfield Lane,709 West 6th Street,285
709 West 6th Street,4501 Rowood Road,285
1403 East 2nd Street,1500 Royal Crest Drive,284
3301 Hollywood Avenue,2605 Whitis Avenue,284
1400 South Pleasant Valley Road,207 West 18th Street,283
221 East 9th Street,2507 Bridle Path,282
2605 Whitis Avenue,4504 Avenue C,281
5209 North Lamar Boulevard,2605 Whitis Avenue,281
709 West 6th Street,2500 Candlewood Court,280
1155 Curve Street,1403 East 2nd Street,279
1517 Summer Stone Drive,221 East 9th Street,279
East 20th Street,3600 Presidential Boulevard,279
3600 Presidential Boulevard,1500 Royal Crest Drive,278
5209 North Lamar Boulevard,Red River Street,277
2002 Dexter Street,3600 Presidential Boulevard,277
7100 Carver Avenue,221 East 9th Street,276
909 East Koenig Lane,709 West 6th Street,275
3400 Catalina Drive,221 East 9th Street,275
"Barley Bean, South Lamar Boulevard",1402 Hillmont Street,274
313 Lone Oak Drive,West Gibson Street,273
2904 Barton Skyway,3600 Presidential Boulevard,273
709 West 6th Street,1157 Salina Street,273
1403 East 2nd Street,207 West 18th Street,273
